identity	canonical_card_name	canonical_card_id	current_source_pool	relationship_class	certified_identity_claim_ids	exact_card_facts	relationship_evidence	source_ids	exact_source_locators	baseline_disposition	current_disposition	limitation	public_rationale	owner_decision	display_priority
W	Giada, Font of Hope	48e6d3d8-2f27-4017-acdd-40bce8cdbc02	data/raw-factions/white/white.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Angel; CI=W; oracle_id=48e6d3d8-2f27-4017-acdd-40bce8cdbc02	Turns shared protection and ordered growth into a clean mono-white board plan.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want the deck to center taxes or equipment instead of a creature board. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	1
W	Adeline, Resplendent Cathar	38515f89-348b-4cf3-b7bd-1f6fe4ce2fba	data/raw-factions/white/white.profile.json#/commander_compass/native_fit_commanders/1	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Human Knight; CI=W; oracle_id=38515f89-348b-4cf3-b7bd-1f6fe4ce2fba	Makes White's belief in collective pressure visible immediately through bodies and combat.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want a slower rules-and-taxes shell instead of a combat-focused table plan. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	2
W	Balan, Wandering Knight	d12cfd46-73c2-4206-9a10-0d2e7d6ac87e	data/raw-factions/white/white.profile.json#/commander_compass/native_fit_commanders/2	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Cat Knight; CI=W; oracle_id=d12cfd46-73c2-4206-9a10-0d2e7d6ac87e	Channels White's disciplined protection into a single armored line that ends games cleanly.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You prefer broad board control to a focused equipment threat. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	3
U	Talrand, Sky Summoner	ea1eb902-a23c-44ff-9169-19baf71de238	data/raw-factions/blue/blue.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Merfolk Wizard; CI=U; oracle_id=ea1eb902-a23c-44ff-9169-19baf71de238	Turns Blue's patient instant-speed posture into a visible board of evasive threats.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want hard artifact engines or wizard tribal more than spell-based token pressure. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	1
U	Azami, Lady of Scrolls	0f8b97fe-3e5e-47c2-9a9d-7f77482aa159	data/raw-factions/blue/blue.profile.json#/commander_compass/native_fit_commanders/1	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Human Wizard; CI=U; oracle_id=0f8b97fe-3e5e-47c2-9a9d-7f77482aa159	Makes Blue's information advantage literal by turning a wizard board into cards.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You dislike tribal shells or want a lower-maintenance control commander. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	2
U	Minn, Wily Illusionist	d4212d44-d6a0-4c5b-9c54-bc90f36828dd	data/raw-factions/blue/blue.profile.json#/commander_compass/native_fit_commanders/2	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Gnome Wizard; CI=U; oracle_id=d4212d44-d6a0-4c5b-9c54-bc90f36828dd	Rewards Blue's habit of drawing extra cards by turning information flow into board presence.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want a classic counterspell deck instead of a draw-trigger creature plan. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	3
B	K'rrik, Son of Yawgmoth	cbe3a4e7-5dbe-4f58-8ee6-a1762b65acfd	data/raw-factions/black/black.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Phyrexian Horror Minion; CI=B; oracle_id=cbe3a4e7-5dbe-4f58-8ee6-a1762b65acfd	Makes Black's life-as-resource principle literal by turning life into black mana and momentum.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want a slower control shell instead of a high-risk engine deck. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	1
B	Ayara, First of Locthwain	388168b3-ec68-4af2-b88c-6a5ec88c15f6	data/raw-factions/black/black.profile.json#/commander_compass/native_fit_commanders/1	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Elf Noble; CI=B; oracle_id=388168b3-ec68-4af2-b88c-6a5ec88c15f6	Turns bodies into drain, cards, and repeatable exchange without leaving mono-black's center.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You dislike creature loops or sacrifice-based value engines. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	2
B	Chainer, Dementia Master	cb905eb0-bb20-41c0-9695-0f5c71972561	data/raw-factions/black/black.profile.json#/commander_compass/native_fit_commanders/2	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Human Minion; CI=B; oracle_id=cb905eb0-bb20-41c0-9695-0f5c71972561	Uses life and mana to turn graveyards into an active board resource.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want a low-maintenance creature deck rather than graveyard management. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	3
R	Torbran, Thane of Red Fell	8c3495bf-02e7-4ad9-949d-92eb3d2b662a	data/raw-factions/red/red.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Dwarf Noble; CI=R; oracle_id=8c3495bf-02e7-4ad9-949d-92eb3d2b662a	Makes Red's direct-action philosophy literal by turning every red damage source into a louder spark.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want creature swarms or treasure engines more than damage math. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	1
