path	category	disposition	basis
.codex/prompts/webdev.md	current instruction scope fence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
CLAUDE.md	current instruction scope fence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/analysis/color-audits/red-source-mapping-report.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/analysis/color-audits/white-intra-color-audit.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/analysis/vm-420-consolidation-manifest.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/analysis/vm-420-docs-bloat-retention-audit.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/architecture/colors/colorless/identity.md	current semantic/product plan or reference	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/audits/archscry-current-state-2026-08-22/reconciliation/owner-review-queue.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/audits/archscry-current-state-2026-08-22/reconciliation/red-team-reconciliation.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/context/2026-06-05-faction-quality-audit-session-briefing.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/design/placementLogic_deep-research-report.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-05-20-2000-codex-archscry-shell-modernization.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-06-05-1130-codex-vm295-witch-placement-data-quality-authoring-pass.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-06-05-1200-codex-vm294-jeskai-placement-data-quality-authoring-pass.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-06-05-1500-codex-vm296-mardu-placement-data-quality-authoring-pass.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-06-15-1558-codex-vm403-pages-deploy-repair.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-06-24-2025-codex-vm420-docs-bloat-consolidation.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-07-27-0120-codex-vm550-strategium-after-game-mvp.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-08-20-1427-codex-vm573-archscry-runtime-decomposition.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-08-22-1710-codex-vm580-vm583-owner-qa-remediation-robdev.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-08-30-2204-codex-vm612-archscry-intro-copy-revision.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-08-30-2236-codex-vm612-homepage-signature-remediation.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-08-31-2359-codex-vm615-reading-dossier-owner-review.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-01-2226-codex-vm620-shared-guide-beacon-owner-review.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-02-1033-codex-vm620-vm621-owner-accepted-closeout.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-03-1747-codex-vm625-public-identity-atlas-owner-review.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-04-2152-codex-vm547-canonical-browser-runtime-revision.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-05-2129-codex-vm633-owner-approved-integration.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-06-1215-codex-vm636-atlas-mana-matrix.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-06-1232-codex-vm636-owner-accepted-closeout.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-07-0000-codex-vm632-github-routing.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-07-0000-independent-robqa-vm632-github-routing.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-07-1156-codex-vm632-owner-accepted-closeout.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-08-1100-codex-vm641-delivery-checks.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-08-1700-independent-robqa-vm641-final.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/handoffs/2026-09-13-2244-codex-vm648-terms-privacy-boundary.md	historical handoff	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/incidents/recoveries/VM-517-white-semantic-recovery.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/incidents/recoveries/VM-521-green-semantic-recovery.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/backlog/VM-628-archscry-portable-reading-recovery.md	active backlog	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-087-archscry-shell-modernization.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-116-css-architecture-phase-2-layout-layer-animation-consolidation.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-127-phase-4-archscry-index-extraction.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-294-jeskai-placement-data-quality-authoring-pass.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-295-witch-placement-data-quality-authoring-pass.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-296-mardu-placement-data-quality-authoring-pass.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-550-strategium-after-game-mvp.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-552-strategium-game-lifecycle-completion-mvp.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-573-archscry-runtime-decomposition-pass-2.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-612-semantic-typography-system-upgrade.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-619-opt-in-field-guide-guided-reading-mode.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-632-github-connector-discovery-before-browser-fallback.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/kanban/done/VM-648-terms-service-accuracy-pass.md	historical Done card	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/plans/vm551-gate-b1-placement-instrument/owner-decisions.md	current semantic/product plan or reference	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/plans/vm551-gate-b1-placement-instrument/player-validation-plan.md	current semantic/product plan or reference	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/plans/vm551-gate-b1-product-fit/final-b1-architecture-decision.md	current semantic/product plan or reference	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/qa/2026-09-04-vm547-owner-review.md	historical audit/context/evidence	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/reference/37-identity-player-relationship-guide.md	current semantic/product plan or reference	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/reference/workflow.md	current workflow reference (Git-host authentication)	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/research/abzan houses/Abzan Houses_ Deep Research Report.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/research/abzan houses/abzan-houses-lore-source-packet.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/research/abzan/source-material/Abzan Houses_ Deep Research Report.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
docs/research/abzan/source-material/abzan-houses-lore-source-packet.md	incidental source/analysis	KEEP	broader baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 query or explicit scope-fence inspection
