path	category	disposition	basis
docs/analysis/color-audits/black-source-mapping-report.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/analysis/color-audits/blue-source-mapping-report.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/analysis/color-audits/green-source-mapping-report.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/analysis/color-audits/white-source-mapping-report.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/cdn-font-dependency-review.md	current reference	UPDATE REFERENCE	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/abzan/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/abzan/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/colorless/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/colorless/product-decision-gate.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/dune/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/dune/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/glint/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/glint/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/jeskai/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/jeskai/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/mardu/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/mardu/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/sultai/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/sultai/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/temur/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/temur/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/yore/identity.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/colors/yore/metaphysics.md	incidental source/analysis	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/core-logic-and-algorithms.md	current reference	UPDATE REFERENCE	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/data-flow-map.md	current reference	UPDATE REFERENCE	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/project-atlas.md	current reference	UPDATE REFERENCE	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/route-ownership-matrix.md	current reference	UPDATE REFERENCE	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/architecture/supabase-frontend-security-review.md	current reference	UPDATE REFERENCE	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/archive/phase4-manual-views/HANDOFF_INDEX.md	archive	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/archive/phase4-manual-views/board.md	archive	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/archive/vm551-historical-review-evidence/compatibility-independent-review/2026-08-01-1234-codex-vm551-gate-a-compatibility-independent-review.md	archive	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
docs/archive/vm551-historical-review-evidence/compatibility-independent-review/independent-review-gate-a-compatibility-candidate.md	archive	KEEP	baseline 01e11dc3e6cdae683e9f8120a0034f26d33806f1 exact literal-match query
