Identity	Eligible card rationales	Cards shown	Missing coverage	Why rejected	Source needed
W — White	3	Giada, Font of Hope; Adeline, Resplendent Cathar; Myrel, Shield of Argive	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
U — Blue	3	Talrand, Sky Summoner; Teferi, Mage of Zhalfir; Baral, Chief of Compliance	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
B — Black	3	K'rrik, Son of Yawgmoth; Vilis, Broker of Blood; Gonti, Lord of Luxury	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
R — Red	3	Torbran, Thane of Red Fell; Purphoros, God of the Forge; Neheb, the Eternal	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
G — Green	3	Azusa, Lost but Seeking; Selvala, Heart of the Wilds; Rishkar, Peema Renegade	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WU — Azorius Senate	3	Isperia, Supreme Judge; Grand Arbiter Augustin IV; Lavinia, Azorius Renegade	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor. | Candidate uses missing, string-only, or incomplete claim/source provenance.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient. | Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
UB — House Dimir	3	Lazav, Dimir Mastermind; Etrata, the Silencer; The Scarab God	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Existing wording contains reviewer/source-method language and is not eligible as player copy.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Owner-reviewed player wording that remains within the existing relationship evidence, or rejection.
BR — Cult of Rakdos	3	Rakdos, Lord of Riots; Rakdos, the Showstopper; Prosper, Tome-Bound	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance. | Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
RG — Gruul Clans	3	Borborygmos Enraged; Nikya of the Old Ways; Ruric Thar, the Unbowed	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WG — Selesnya Conclave	3	Trostani, Selesnya's Voice; Emmara, Soul of the Accord; Sythis, Harvest's Hand	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Existing wording contains reviewer/source-method language and is not eligible as player copy.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Owner-reviewed player wording that remains within the existing relationship evidence, or rejection.
WB — Orzhov Syndicate	4	Teysa Karlov; Teysa, Orzhov Scion; Karlov of the Ghost Council	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
UR — Izzet League	4	Niv-Mizzet, Parun; Melek, Izzet Paragon; Mizzix of the Izmagnus	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
BG — Golgari Swarm	3	Jarad, Golgari Lich Lord; The Gitrog Monster; Meren of Clan Nel Toth	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
UG — Simic Combine	3	Prime Speaker Zegana; Tatyova, Benthic Druid; Momir Vig, Simic Visionary	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Existing wording contains reviewer/source-method language and is not eligible as player copy.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Owner-reviewed player wording that remains within the existing relationship evidence, or rejection.
WR — Boros Legion	3	Aurelia, the Warleader; Tajic, Legion's Edge; Feather, the Redeemed	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
LOREHOLD — Lorehold College	3	Lorehold, the Historian; Quintorius, History Chaser; Velomachus Lorehold	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Public approval is still required; mechanical eligibility is not semantic approval.	Owner approval, rejection, or narrowing of the preserved proposed rationale.
PRISMARI — Prismari College	3	Rootha, Mastering the Moment; Zaffai, Thunder Conductor; Muddle, the Ever-Changing	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
