Record ID	Type	Term	Aliases	Proposed copy	Provenance role	Primary locator	Supporting locators	Limitations	Disposition	Owner decision	Replacement locator	Copy SHA-256
glossary_afterlife	GLOSSARY_TERM	Afterlife		When a creature with afterlife dies, create the stated number of 1/1 white and black Spirit creature tokens with flying.	official_game_mechanic	https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	https://magic.wizards.com/en/rules	A curated teaching definition only. It does not establish identity meaning, placement, power level, or a requirement to decorate every occurrence.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_afterlife	1e54be9d072db367af16f5534ce613290130a7922f255818895f943656fa8e8d
glossary_aggro	GLOSSARY_TERM	Aggro	aggressive	A proactive strategy that pressures opponents early through damage or threats.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#aggro		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_aggro	fda7a131d3c26a276840ca87c810cb9c76a3b3427e6e0cb00c4b7e9103a058f9
glossary_aristocrats	GLOSSARY_TERM	Aristocrats		Winning through creatures dying, sacrifice loops, and drain or value payoffs.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#aristocrats		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_aristocrats	4584a875562c3c6731c93ebd06ce3abdb5d107d616773c6cc5e1f6f649da4c82
glossary_artifacts	GLOSSARY_TERM	Artifacts		Using artifacts as threats, engines, mana, or synergy pieces.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#artifacts		A curated teaching definition only. It does not establish identity meaning, placement, power level, or a requirement to decorate every occurrence.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_artifacts	c785b1354d80b450103769085cc161a6a56aaac773f28bd9618fa7999b5f0ddd
glossary_bgx_midrange	GLOSSARY_TERM	BGx Midrange	Rock / BGx Midrange	A black-green midrange strategy built around efficient disruption, durable threats, and attrition; the x means it may splash another color.	commander_community_archetype	https://magic.wizards.com/en/news/making-magic/mastering-dominaria-remastered	https://magic.wizards.com/en/rules	A curated teaching definition only. It does not establish identity meaning, placement, power level, or a requirement to decorate every occurrence.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_bgx_midrange	c927e2e8852ec1a1871a4be717d0f8c34182edd3f5341b3723151ff76c5ea47a
glossary_big_mana	GLOSSARY_TERM	Big Mana		Producing very large amounts of mana for oversized plays.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#big-mana		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_big_mana	c99f69d95854804425c154dd9de8bf4801c2fe49a5f4e94f612bbf5888b1f4b6
glossary_big_spell_storm	GLOSSARY_TERM	Big Spell Storm	big-spell storm	A spellslinger plan that builds mana and spell count toward a concentrated turn of large spells; it may use the Storm keyword, but does not have to.	deterministic_taxonomy_composition	data/taxonomy/vox-mana-tags.json#big-mana	data/taxonomy/vox-mana-tags.json#spellslinger | data/taxonomy/vox-mana-tags.json#storm	A proposed Vox Mana teaching label, not an official rules term. Owner review must confirm that the composition is useful and does not blur the Storm keyword.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_big_spell_storm	81609579f08bdeb3a157ea2f19c2be74feed61b1d577c3467078a671065d6147
glossary_blink_flicker	GLOSSARY_TERM	Blink/Flicker	blink | flicker	Exiling permanents and returning them to reuse enter-the-battlefield effects or dodge removal.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#blink		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_blink_flicker	4ef2cbd904a651482257028a9a27ffa655d0d4abf75a543cf774adbd269b607f
glossary_burn	GLOSSARY_TERM	Burn		Using spells or abilities to deal direct damage to creatures, players, or other targets.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#burn		A curated teaching definition only. It does not establish identity meaning, placement, power level, or a requirement to decorate every occurrence.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_burn	9ac667fd8068bb0f619de7d5c7d245861c98dd5696cc83466de59729d1bc636c
glossary_colorless_mana	GLOSSARY_TERM	Colorless mana	true colorless source	Colorless mana is mana with no color. A {C} cost can be paid only with colorless mana.	official_game_rule	docs/research/colorless/source-material/official/colorless-off-001-current-comprehensive-rules.md#rules-106-10-107-4c	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_colorless_mana	390411cc29919109e13f1f18305abf95b49f2e8f349428ebd82cd096be19d0dd
